__ON__ LIEB ZUSCHAUER ABEND	liebe zuschauer guten abend .
DANN FOLGE WETTER WECHSELHAFT loc-REGION DEUTSCH LAND __OFF__	die folge unbeständiges wetter in weiten teilen deutschlands .
__ON__ TAG DANN loc-NORDWEST REGEN-PLUSPLUS __PU__ SONNE BISSCHEN SCHAUER loc-SUED BAYERN GEWITTER GEWITTER KOENNEN __OFF__	am tag regnet es im nordwesten gebietsweise kräftig sonst neben etwas sonne einige schauer in der südhälfte gewitter die in bayern teilweise kräftig ausfallen .
__ON__ loc-NORDOST TROCKEN __OFF__	im nordosten bleibt es trocken .
__ON__ GEWITTER KOENNEN WIND SONST SCHWACH SCHWACH WEHEN __OFF__	bei gewittern sind sturmböen möglich sonst weht der wind schwach in der nordhälfte weht er schwach bis mäßig .
__ON__ NACHT NEUN BIS DREI GRAD NORD FROST BIS MINUS EINS GRAD __OFF__	heute nacht neun bis drei grad im norden frost bis minus ein grad .
__ON__ TAG BERG SIEBEN LANG REGEN REGEN loc-SUEDOST BIS ZWEI ZWANZIG GRAD	am tag sieben grad in der eifel wo es länger regnet im südosten bis zweiundzwanzig grad .
MITTWOCH IX-PLUSPLUS REGEN REGEN KOENNEN loc-SUED AUCH GEWITTER DONNERSTAG WECHSELHAFT WETTER BESONDERS SUED loc-SUEDOST REGEN REGEN KOENNEN __OFF__	am mittwoch hier und da regen im südosten auch gewitter am donnerstag ebenfalls unbeständiges wetter vor allem im süden und im osten regnet es mancherorts .
__ON__ FREITAG SONNE WOLKE WECHSELHAFT REGEN REGEN loc-SUED BISSCHEN GEWITTER DABEI __OFF__	am freitag mal sonne mal wolken mal regen im südosten einzelne gewitter .
__ON__ __EMP__ WETTER WIE-AUSSEHEN __PU__ MORGEN MITTWOCH ELF NOVEMBER __OFF__	und nun die wettervorhersage für morgen mittwoch den elften november .
loc-REGION WIEDER TIEF __HOLD__ MILD KOMMEN	vom atlantik nähert sich ein neues tief das dann mildere luft mit sich führt .
HAUPTSAECHLICH loc-NORDWEST __HOLD__ REGEN-PLUSPLUS __HOLD__ SUED __HOLD__ REGEN __HOLD__ TROPFEN-PLUSPLUS	vor allem im nordwesten regnet es heute nacht aber auch im süden regnet oder nieselt es gebietsweise .
HOEHE SECHSHUNDERT BIS TAUSEND METER	die schneegrenze liegt zwischen sechshundert und eintausend metern .
TAG IX-PLUSPLUS REGEN loc-NORDWEST loc-REGION IX-PLUSPLUS BISSCHEN REGEN	am tag regnet es hier und da vom nordwesten bis in die mitte sonst regnet es nur vereinzelt .
__ON__ NACHT SECHS BIS NULL loc-ALPEN TEIL MINUS ZWEI	heute nacht sechs bis null grad an den alpen stellenweise minus zwei grad .
TAG loc-ALPEN VIER ACHT FLUSS loc-NORD __OFF__	am tag vier grad am bergrand und acht grad an rhein und nordsee .
FREITAG REGEN SPAETER AUFLOESEN TEIL WIND	am freitag regnet es erst verbreitet später lockert es etwas auf teilweise ist es windig .
SAMSTAG MAL MAL SONNE __OFF__	am samstag zeigt sich zwischendurch auch mal die sonne .
__ON__ JETZT WETTER VORAUSSAGE FUER MORGEN DONNERSTAG ELF NOVEMBER __OFF__	und nun die wettervorhersage für morgen donnerstag den elften november .
__ON__ AB MORGEN NACH MITTAG BESONDERS KOMMEN SCHOTTLAND loc-REGION KOMMEN	ab morgen nachmittag bestimmt das tief das nach schottland zieht unser wetter .
VORHER NOCH BISSCHEN RUHIG RUHIG	bis dahin herrscht ruhe vor dem sturm .
NACHT REGEN MEHR OST KOMMEN BERG MOEGLICH BISSCHEN SCHNEE SCHNEE VORSICHT GLATT ACHTUNG __OFF__	in der nacht verlagert sich der regen in die osthälfte im höheren bergland schneit es teilweise vorsicht wegen glätte .
MORGEN BISSCHEN SCHOEN WETTER NACH MITTAG WEST HAUPTSAECHLICH REGEN-PLUSPLUS KOMMEN BIS GLAUBEN loc-REGION VIEL KOMMEN	morgen zunächst nochmal freundliche abschnitte am nachmittag kommt dann im westen kräftiger regen auf er breitet sich später auf weite teile des landes aus .
BISSCHEN SCHWACH KOMMEN SPAETER STARK KOMMEN BESONDERS loc-NORDWEST KOMMEN ABEND STARK STURM-PLUSPLUS	erst weht der wind mäßig später stark vor allem in der nordwesthälfte gegen abend erste sturmböen .
BERG SEE SCHWER STURM STURM BERG GIPFEL MOEGLICH ORKAN __PU__	im bergland und an der see schwere sturmböen in gipfellagen zum teil orkanböen .
HEUTE ABEND WERT UNGEFAEHR FUENF BIS MINUS EINS GRAD TAG VIER GRAD V LAND ELF GRAD NIEDER FLUSS __OFF__	heute nacht werte zwischen fünf und minus ein grad am tag dann vier grad im vogtland und elf grad am niederrhein .
VORAUS WIE-AUSSEHEN FREITAG BESONDERS NORD HERBST STURM STURM ORT loc-REGION MOEGLICH AUCH ORKAN	die aussichten am freitag droht vor allem dem norden ein herbststurm mit schweren sturmböen örtlich auch orkanartigen böen .
SUED LANG REGEN-PLUSPLUS	ganz im süden regnet es für längere zeit .
SAMSTAG SUED loc-REGION GUT SONNE ABER TATSAECHLICH ABEND REGEN REGEN WIND WIND SONNTAG TATSAECHLICH WECHSELHAFT WETTER __OFF__	am samstag ist es im süden freundlich sonst immer wieder regen und wind am sonntag weiterhin unbeständiges wetter .
__ON__ loc-SUEDOST REGEN REGEN UEBER BERG VIERHUNDERT METER DANN SCHNEE SCHNEE	in der mitte und im süden fällt hier und da regen oberhalb von etwa vier hundert metern ist auch schnee dabei .
MORGEN loc-NORDOST TROCKEN FREUNDLICH loc-REGION WOLKE IX AUSWAEHLEN-PLUSPLUS REGEN	morgen im norden trocken und zum teil auch freundlich sonst mehr wolken als sonne und zeitweise regen .
NACH MITTAG loc-ZONE ENORM REGEN REGEN KOENNEN REGEN BERG DANN SCHNEE SCHNEIEN	am nachmittag im süden auch kräftigere schauer mit graupel im höheren bergland schnee .
__ON__ loc-ZONE loc-SUED NULL BIS ZWEI HEUTE NACHT loc-NORDWEST EINS BIS FUENF GRAD	südlich der donau heute nacht null bis minus zwei sonst werte zwischen ein und fünf grad plus .
__ON__ IN-KOMMEND loc-NORD BLEIBEN SONNE BEREICH loc-REGION WECHSELHAFT	auch in den kommenden tagen liegt der norden eher auf der sonnenseite während es im übrigen land wechselhaft bleibt .
LANGSAM IN-KOMMEND MEHR MILD loc-NORD FREUNDLICH __OFF__	nur langsam wird es wieder etwas milder und von norden auch freundlicher .
__ON__ MORGEN WETTER WIE-AUSSEHEN MITTWOCH ZWOELF AUGUST __OFF__	und nun die wettervorhersage für morgen mittwoch den zwölften august .
__ON__ EUROPA NORD loc-REGION TIEF DRUCK KOMMEN __OFF__	die nordhälfte europas liegt unter tiefdruckeinfluss .
__OFF__ loc-SUEDWEST KOMMEN HOCH KOMMEN	von südwesten macht sich allerdings ein ableger des azorenhochs bemerkbar .
MITTE DEUTSCH LAND GRENZE loc-KOMMEN KOMMEN ALLE DABEI-PLUSPLUS __OFF__	deutschland liegt genau an der grenze zwischen diesen luftdruckgebieten und bekommt von allem etwas .
__ON__ loc-SUEDOST HEUTE NACHT SCHAUER	im südosten gibt es heute nacht noch einzelne schauer .
WOLKE KLAR TROCKEN	sonst teils wolkig teils klar und meist trocken .
loc-NORD WOLKE AUFZIEHEN SPAETER DANN BESONDERS loc-NORD REGEN KOENNEN __OFF__	im norden werden die wolken aber wieder dichter und bringt später vor allem richtung nordsee stellenweise regen .
__ON__ HEUTE NACHT TEMPERATUR ZWOELF BIS SECHSZEHN GRAD __OFF__	in der nacht temperaturen zwischen zwölf und sechzehn grad .
__ON__ TAG SIEBZEHN SAUER LAND loc-REGION BIS SIEBEN ZWANZIG GRAD loc-REGION __OFF__	am tag werte von siebzehn grad im sauerland bis siebenundzwanzig grad im breisgau .
__ON__ DONNERSTAG FREITAG WECHSELHAFT SONNE WOLKE REGEN REGEN	donnerstag und freitag gibt es teils sonne teils wolken mit schauern .
GEWITTER KOENNEN __OFF__	örtlich sind auch gewitter dabei .
__ON__ SAMSTAG IN-KOMMEND loc-NORD DANN WOLKE	am samstag zeigen sich richtung norden noch gelegentlich wolken .
__HOLD__ UEBERWIEGEND TROCKEN	aber es bleibt meist trocken .
SUED loc-REGION VIEL SONNE UND HOCH SOMMER PASSEN WARM __OFF__	im süden scheint häufig die sonne und es wird hochsommerlich warm .
__ON__ JETZT WETTER MORGEN DONNERSTAG ZWOELF FEBRUAR __OFF__	und nun die wettervorhersage für morgen donnerstag den zwölften august .
MORGEN TEMPERATUR GLEICH-WIE HEUTE NEUNZEHN BIS FUENF ZWANZIG L IX SIEBEN ZWANZIG GRAD __OFF__	morgen ähnliche temperaturen wie heute neunzehn bis fünfundzwanzig in der lausitz bis siebenundzwanzig grad .
__ON__ FREITAG loc-OST KOENNEN REGEN REGEN STARK REGEN VORSICHT UEBERSCHWEMMUNG KOENNEN	am freitag kann es in der osthälfte teilweise länger und kräftig regnen vorsicht hochwassergefahr .
loc-REGION WECHSELHAFT REGEN GEWITTER AUCH WOCHENENDE __PU__ __OFF__	sonst wechselhaft mit schauern und gewittern die uns auch am wochenende begleiten .
__ON__ TEMPERATUR BLEIBEN GLEICH __OFF__	am temperaturniveau ändert sich wenig .
ORT-PLUSPLUS REGEN DURCH REGEN-PLUSPLUS KOENNEN UEBERSCHWEMMUNG UEBERSCHWEMMUNG KOENNEN __OFF__	mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich .
__ON__ loc-NORDWEST HEUTE NACHT TROCKEN BLEIBEN loc-SUEDWEST KOENNEN REGEN-PLUSPLUS ORT-PLUSPLUS GEWITTER DAZU	im nordwesten bleibt es heute nacht meist trocken sonst muss mit teilweise kräftigen schauern gerechnet werden örtlich mit blitz und donner .
TAGSUEBER OFT REGEN-PLUSPLUS GEWITTER GEWITTER KOENNEN MANCHMAL REGEN VIEL REGEN REGEN __OFF__	auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen .
__ON__ WOLKE LOCH LOCH SPEZIELL loc-NORDWEST __OFF__	größere wolkenlücken finden sich vor allem im nordwesten .
FLUSS HEUTE NACHT SECHS FLUSS SIEBZEHN GRAD	im emsland heute nacht nur neun am oberrhein bis siebzehn grad .
__ON__ GUT ABEND LIEB ZUSCHAUER __OFF__	guten abend liebe zuschauer .
__ON__ KUESTE DURCHGEHEND REGEN REGEN MORGEN VERRINGERN	der dauerregen an den küsten lässt morgen langsam wieder nach .
SPEZIELL NORDRAUM __HOLD__ S Y L T MORGEN SONNE	zunächst an der nordsee so dass es in sylt morgen wieder überwiegend sonnig wird .
ABER IM-MOMENT REGEN HEUTE NACHT cl-KOMMEN OST SCH STEIN ALLGAEU WOHNEN __PU__ __OFF__	aber wir haben ja diesen kräftigen regen der zieht heute nacht weiter nach osten also schleswig holstein mecklenburg vorpommern .
__ON__ WEST cl-KOMMEN REGEN GEWITTER NOCH ROT HAAR GEWITTER	von westen ziehen ja jetzt kräftige regenschauer und einige gewitter heran die das rothaargebirge erreichen .
OST SUEDRAUM DOCH LOCKER WOLKE WOLKE KUEHL	sonst im osten und süden da haben wir noch teilweise locker bewölkten himmel und es ist gar nicht so kühl .
MORGEN FRUEH neg-HABEN neg-HABEN ELF BIS SECHSZEHN GRAD	morgen früh da sind es elf bis sechzehn grad .
TAG STEIGEN ABER MITTE NUR ZWANZIG GRAD GRAD BISSCHEN KUEHL WENN VERGLEICH UNTEN __OFF__	tagsüber geht es wieder rauf aber in der mitte nur um die zwanzig grad das ist ein bisschen kühler als heute .
__ON__ AUCH KUESTE IX NORD MEHR KUEHL ABER SUEDRAUM NOCH WARM SECHS ZWANZIG GRAD GRAD VOR MITTAG AUCH SONNE	noch etwas kühler also direkt an den küsten aber sommerliche wärme hält sich noch im süden mit sechsundzwanzig grad am vormittag scheint da auch meist die sonne noch .
NORDWESTRAUM REGEN cl-KOMMEN SPEZIELL NORDOSTRAUM REGEN REGEN ABER NORDRAUM __HOLD__ VOR MITTAG VERRINGERN	sonst haben wir den regen der langsam weiter nach süden zieht kräftig ist er vor allen dingen im nordosten aber an der nordsee lässt er schon vormittags nach .
__ON__ WEITER NORDRAUM NASS SPEZIELL SONNTAG NACH MITTAG MEISTENS WEST REGEN REGEN GEWITTER __HOLD__ MONTAG BESSER negalp-AUCH	ja es geht weiter nass im norden am wochenende und vor allen dingen am sonntagnachmittag dann heftige regenschauer und gewitter im westen und montag auch nicht viel besser .
SOMMER neg-HABEN NOCH-NICHT __PU__ __OFF__ __EMP__	also mit dem sommer wird es wohl nichts mehr .
__ON__ SCHOEN ABEND GUT __OFF__	ihnen einen schönen abend und machen sie es gut .
DESHALB ZUERST WECHSELHAFT	dabei bleibt es zunächst noch wechselhaft .
WENN __EMP__ NACHT loc-NORD __HOLD__ AUFLOESEN loc-REGION WOLKE	wenn dann lockert es in der nacht am ehesten in der nordhälfte mal auf sonst ist es meist bewölkt .
TAG UEBERWIEGEND WOLKE TEIL AUFLOESEN TEIL SCHNEE TIEF REGEN	am tag überwiegen die wolken gelegentlich lockert es auch mal auf stellenweise schneit es etwas in tieferen lagen auch regen .
TAG SCHWACH MAESSIG WIND WIND	am tag weht der wind schwach bis mäßig aus nordost .
HEUTE NACHT PLUS DREI MINUS DREI VORSICHT GLATT	heute nacht plus drei bis minus drei grad vorsicht wegen glätte .
IM-VERLAUF MEHR WARM MINUS EINS UND __LEFTHAND__ FUENF loc-NORD __OFF__	im laufe des tages steigen die werte an auf minus ein grad im bergland und plus fünf grad an der ostsee .
__ON__ WIE-AUSSEHEN IN-KOMMEND SONNTAG WOLKE UNTERSCHIED BEWOELKT	die aussichten am sonntag liegen die wolken unterschiedlich dicht beieinander .
TEIL SONNE AUCH BISSCHEN SCHNEE	gelegentlich scheint die sonne vereinzelt schneit es etwas .
MONTAG MAL FREUNDLICH	am montag auch mal freundliche abschnitte .
GLEICH-PLUSPLUS DIENSTAG AUCH NORD BISSCHEN SCHNEE __HOLD__ REGEN REGEN __OFF__	ähnliches wetter dann auch am dienstag ganz im norden etwas schnee oder regen .
__ON__ SCHOTTLAND __LEFTHAND__ HOCH ZONE POLEN TIEF cl-KOMMEN cl-KOMMEN KALT cl-KOMMEN	zwischen dem hoch bei schottland und dem tief über polen strömt wieder kältere luft zu uns .
__ON__ NORDWESTRAUM HEUTE NACHT KOENNEN WOLKE VERSCHWINDEN KOENNEN REGEN	im norden und westen lockert es heute nacht ab und an auf gebietsweise regnet es .
NORDOSTRAUM __HOLD__ SCHNEE BIS FLACH FLACH	im nordosten schneit es teilweise bis ins flachland .
KUESTE TAG TAG WENIG REGEN SCHNEE SUEDRAUM MEHR REGEN UMWANDELN SCHNEE	am tag an den küsten und im nordwesten kaum regen oder schnee sonst niederschläge die von nordosten immer mehr in schnee übergehen .
NACHT OSTRAUM MITTE BERG STURM STURM VORSICHT poss-SEIN SCHNEE HOCH	vor allem in der nacht in den östlichen mittelgebirgen noch sturmböen vorsicht wegen schneeverwehungen .
__HOLD__ SUEDWESTRAUM WIND MAESSIG SCHWACH __OFF__	sonst weht der wind nur schwach bis mäßig .
__ON__ HEUTE NACHT DREI BIS MINUS FUENF GRAD TAG NULL UEBER-UNTER FUENF GRAD FLUSS	heute nacht drei bis minus fünf grad am tag dann null grad im mittleren bergland und fünf grad am rhein .
JETZT WIE-AUSSEHEN IN-KOMMEND __PU__ __OFF__ __ON__ MONTAG WOLKE ZU AUF UNTERSCHIED NUR IX-PLUSPLUS SCHNEE	die aussichten am montag liegen die wolken unterschiedlich dicht beieinander es schneit nur stellenweise .
__ON__ JETZT WETTER MORGEN FREITAG ZWOELF FEBRUAR __OFF__	und nun die wettervorhersage für morgen freitag den zwölften februar .
__ON__ WIND WETTER WECHSELHAFT BLEIBEN SO	das unbeständige winterwetter mit schneefällen setzt sich fort .
loc-NORDWEST HOCH BEREICH __OFF__	nur der äußerste nordwesten deutschlands profitiert von dem hoch über großbritannien .
__ON__ loc-NORDWEST HEUTE ABEND __EMP__ TROCKEN loc-REGION SCHNEE VORSICHT GLATT MOEGLICH __PU__	an der nordsee ist es heute nacht trocken sonst schneit es zeitweise leicht bis mäßig vorsicht wegen glätte .
MORGEN HAUPTSAECHLICH SCHNEE WO loc-NORDOST BEREICH MITTE BERG AUCH __PU__ __OFF__	am tag schneit es dann vor allem in einem streifen vom nordosten bis in den mittelgebirgsraum auch sonst schneit es gelegentlich .
__ON__ NORD loc-NORD SONNE __PU__	an der nordsee etwas sonne .
MITTE loc-REGION WIND MAESSIG MAESSIG loc-NORD loc-REGION STURM MOEGLICH	in der nordwesthälfte weht der wind mäßig bis frisch an der ostsee einzelne sturmböen .
VORSICHT MOEGLICH SCHNEE BERG	vorsicht wegen schneeverwehungen .
HEUTE NACHT MINUS ZWEI BIS MINUS ZEHN GRAD MORGEN MINUS SECHS ALPEN NORD loc-REGION NULL GRAD __OFF__	heute nacht werte zwischen minus zwei und minus zehn grad am tag dann werte zwischen minus sechs grad an den alpen und null grad im nordosten .
SAMSTAG __PU__ MOEGLICH SCHNEE HAUPTSAECHLICH loc-NORD __PU__	am samstag schneit es ab und an leicht vor allem richtung nordosten .
SONNTAG WENIG SCHNEE WEST loc-WEST loc-REGION SUED loc-REGION MEHR HIMMEL KLAR	am sonntag schneit es kaum noch vor allem im nordwesten und südosten lockert es auch mal auf .
MONTAG RUHIG SONNE WOLKE ABER SCHNEE neg-HABEN __OFF__	am montag recht ruhiges winterwetter sonne dichte wolken teilweise nebel aber trocken .
__ON__ JETZT FRUEH MORGEN __PU__ MORGEN WETTER WIE-AUSSEHEN ZWOELFTE FEBRUAR SAMSTAG __OFF__	und nun die wettervorhersage für morgen samstag den zwölften februar .
__ON__ MORGEN cl-KOMMEN __PU__ SUED	quer über deutschland liegt morgen eine luftmassengrenze .
REGION KALT REGION MILD cl-KOMMEN TRENNEN	sie trennt kalte luft im nordosten von sehr milder luft im südwesten .
ZONE MORGEN KOENNEN SCHNEE __HOLD__ REGEN REGEN __OFF__	im bereich dieser grenze regnet oder schneit es morgen zeitweise .
NORDRHEIN-WESTFALEN HEINS BERG cl-KOMMEN HEUTE NACHT REGEN REGEN REGEN KOENNEN __OFF__ __ON__ REGION SPAETER SCHNEE __OFF__	von nordrhein westfalen über hessen bis nach bayern regnet es heute nacht zeitweise am nordostrand des niederschlagsgebiet schneit es später .
__ON__ MORGEN TAGSUEBER REGION SONNE HABEN REGION __HOLD__ BISSCHEN SONNE	am tag zeigt sich die sonne zwischen ostsee und erzgebirge länger auch im südwesten lichtblicke .
DAZWISCHEN REGEN REGEN SCHNEE __HOLD__ REGEN GEFRIEREN BODEN __OFF__	dazwischen ab und an regen schnee oder auch gefrierender regen .
__ON__ WEHEN WEHEN WEHEN NORDRAUM AUCH KOENNEN FRISCH WIND __OFF__	der wind weht schwach bis mäßig im nordwesten auch frisch .
__ON__ HEUTE NACHT SIEBEN GRAD IX MINUS FUENF NORDRAUM __OFF__	heute nacht sieben grad am niederrhein und minus fünf grad im norden .
__ON__ NULL RUEGEN GRAD RUEGEN IX TAGSUEBER DREIZEHN REGION	am tag null grad auf rügen und dreizehn grad im breisgau .
WIE-AUSSEHEN IN-KOMMEND __OFF__ __ON__ SONNTAG IX-PLUSPLUS REGEN KOENNEN NORDOSTRAUM SCHNEE REGEN GEFRIEREN BODEN __OFF__	die aussichten am sonntag regnet es stellenweise etwas im nordosten gefrierender regen oder schnee .
__ON__ BESONDERS FREUNDLICH SONNE REGION __OFF__	am freundlichsten wird es im süden .
__ON__ MONTAG REGION MEHR FREUNDLICH SONNE WESTRAUM REGEN __LEFTHAND__ IX BISSCHEN SCHNEE	auch der montag verläuft im süden freundlich im westen hier und da regen im nordosten etwas schnee .
DIENSTAG MEISTENS REGION __HOLD__ WECHSELHAFT WECHSELHAFT	am dienstag weiterhin leicht unbeständiges wetter .
__ON__ GUT ABEND LIEB SIE ZUSCHAUER poss-EUCH	guten abend liebe zuschauer .
AB MORGEN NACH MITTAG MEISTENS REGEN REGEN REGEN	ab morgen nachmittag wird es wieder kräftig regnen bei uns .
BIS ABEND MEHR LITER ZEHN BIS ZWANZIG LITER EINS QUADRATMETER REGEN REGEN	bis morgen abend kommen dann schon einige liter wieder runter etwa zehn bis zwanzig liter auf den quadratmeter .
WEITER WEITER	aber das ist noch nicht alles der regen geht weiter .
DONNERSTAG ABEND IX REGEN REGEN REGEN SCHON DREISSIG BIS SIEBZIG LITER EINS QUADRATMETER HOCH	auch donnerstag abend regnet es noch und dann haben wir schon regenmengen von dreißig bis siebzig liter auf den quadratmeter zu erwarten .
MUESSEN FLUSS STEIGEN STEIGEN STEIGEN STEIGEN DONNERSTAG ABEND FREITAG STEIGEN	also das muss alles noch in die flüsse da steigen die pegel am donnerstag abend und am freitag morgen deutlich an .
HEUTE neg-NACHT neg-TROCKEN negalp-AUCH OST REGION SCHNEE SCHNEIEN NORDRAUM AUCH SCHNEE SCHNEIEN SCHNEIEN	auch heute nacht bleibt es nicht trocken es wird im osten ein bisschen schneien im norden ebenso .
IX BESONDERS NORD GLATT	und es kann dort vor allen dingen glatt werden teilweise ist auch regen dabei .
AUCH TEIL MIT REGEN REGEN TEMPERATUR TEMPERATUR UNGEFAEHR NULL ZWISCHEN __LEFTHAND__ neg-FROST neg-HABEN IX	die temperaturen werden ja bei null grad verharren etwa im westen bleibt es allerdings frostfrei .
MORGEN IX WEST UNGEFAEHR SECHS NEUN GRAD GRAD	und da haben wir morgen auch wieder so zwischen sechs und neun grad zu erwarten .
NORDOSTRAUM KUEHL ZWEI DREI GRAD GRAD GRAD UNGEFAEHR WETTER ERSTMAL SONNE UND NEBEL TRUEB-PLUSPLUS MEISTENS	kühler bleibt es weiterhin im nordosten mit zwei bis drei grad etwa und das wetter bringt zunächst erstmal sonne oder neblig trübes wetter .
ANFANG DABEI SCHNEE SCHNEIEN MITTE BERG __HOLD__ DANN WIND DABEI	anfangs ist allerdings auch schnee dabei zumindest in den mittelgebirgen und der wind legt dann auch noch zu .
DONNERSTAG AUCH REGEN REGEN ENORM REGEN REGEN REGEN	donnerstag der weitere regentag bei uns massiver regen kann man sagen .
UND DREIZEHN GRAD GRAD REGION __PU__	dazu frühlingshafte dreizehn grad im westen .
SAMSTAG SONNTAG WIEDER TROCKEN GOTT SEI-DANK __PU__ BISSCHEN MEHR SONNE	doch am wochenende wird es gott sei dank wieder ein bisschen trockener und vor allen dingen wahrscheinlich wieder etwas sonniger .
SCHOEN ABEND poss-EUCH MACHEN GUT poss-EUCH	ihnen einen schönen abend und machen sie es gut .
__ON__ SKANDINAVIEN SUED WOLKE cl-KOMMEN DEUTSCH LAND	wolken des tiefs über südskandinavien ziehen heute nacht über deutschland .
MORGEN NACHMITTAG TATSAECHLICH REGEN REGEN REGEN ISLAND __LEFTHAND__	morgen nachmittag folgen dann die regenwolken eines weiteren tiefs über island .
__ON__ MORGEN VOR MITTAG IX __LEFTHAND__ LOCKER DANN __LEFTHAND__ FLUSS __LEFTHAND__ REGEN REGEN	am tag gibt es erst auflockerungen am späten vormittag beginnt es westlich des rheins zu regnen .
STARK REGEN REGEN BIS ABEND REGION	die teilweise kräftigen regenfälle breiten sich bis zum abend auf weite teile des landes aus .
OSTRAUM MITTE BERG ANFANG __HOLD__ SCHNEE SCHNEIEN SCHNEIEN	an der ostsee und in den mittelgebirgen ist anfangs schnee möglich .
WIND SCHWACH MAESSIG WEHEN WEHEN	der wind weht meist mäßig im norden frisch .
DANN MEER STURM	gegen abend dann auch im westen frischer wind auf den bergen sturmböen .
HEUTE NACHT __LEFTHAND__ VIER OST MINUS EINS	heute nacht vier grad am oberrhein und minus ein grad im osten .
RUEGEN IX MORGEN EINS KOELN KOELN IX NEUN GRAD GRAD __OFF__	am tag ein grad auf rügen und neun grad in köln .
__ON__ DONNERSTAG MEISTENS REGEN REGEN REGEN FREITAG IX NORD NORDOSTRAUM REGEN REGEN REGEN	am donnerstag regnet es teilweise ergiebig am freitag regnet es im norden und nordosten noch .
REGION WOLKE SONNE	sonst neben wolken sonne .
SAMSTAG NORD MEISTENS WOLKE REGEN REGEN REGEN WIND VIEL	am samstag ist es im norden stark bewölkt hier und da regnet es und es ist windig .
__ON__ SKANDINAVIEN TIEF EINFLUSS WENIGER GERADE NAECHSTE TIEF KOMMEN __OFF__	kaum verliert das tief bei skandinavien seinen einfluss auf unser wetter macht sich schon das nächste bemerkbar .
__ON__ REGEN MITTE loc-REGION HEUTE ABEND VERSCHWINDEN TROCKEN	nach abklingen letzter schauer in der mitte und im norden ist es heute nacht trocken .
MORGEN WEST KOMMEN KOMMEN REGEN-PLUSPLUS __OFF__	gegen morgen ziehen in den westen dichte wolken die sich am tag ostwärts ausbreiten .
__ON__ REGEN KOENNEN UEBERWIEGEND loc-NORDWEST	gelegentlich fällt regen am meisten im nordwesten .
OST MEHR FREUNDLICH loc-REGION NACHT TROCKEN __OFF__	im osten ist es zunächst noch freundlich richtung oder und neiße sowie im osten bayerns bleibt es bis zum abend trocken .
__ON__ WIND ZEIGEN __OFF__ __ON__ __EMP__ MAESSIG loc-REGION NORD TEILWEISE WIND FRISCH __OFF__	der wind aus süd bis südwest weht schwach bis mäßig richtung nordsee teilweise frisch .
__ON__ WIE-AUSSEHEN IN-KOMMEND MONTAG SONNE WOLKE WECHSELHAFT IX-PLUSPLUS SCHAUER KOENNEN SUED GEWITTER GEWITTER DABEI __OFF__	die aussichten am montag wechseln sich sonne und wolken ab hier und da bilden sich schauer im süden vereinzelt gewitter .
__ON__ JETZT WETTER WIE AUSSEHEN MORGEN DIENSTAG ZWEITE ZWOELFTE J U L I __OFF__	und nun die wettervorhersage für morgen dienstag den zwölften juli .
__ON__ NORD ENGLAND cl-KOMMEN HOCH cl-KOMMEN MORGEN WETTER FREUNDLICH VIEL SONNE	der keil eines nordatlantikhochs beschert uns morgen meist freundliches wetter mit viel sonnenschein .
__HOLD__ REGION ITALIEN TIEF cl-KOMMEN AB MORGEN NACHT WIEDER REGEN REGEN GEWITTER KOENNEN UNWETTER AUCH	von der biskaya nähert sich aber schon das nächste tief das ab morgen nacht wieder für schauer und gewitter mit unwetterpotenzial sorgt .
__ON__ MORGEN BLEIBEN WOLKE cl-KOMMEN KOENNEN SCHAUER SCHAUER GEWITTER REGION SONNE	die halten sich zum teil auch morgen und bringen vereinzelte schauer oder gewitter sonst scheint häufig die sonne .
BERG IX WEST WESTRAUM NACH MITTAG KOENNEN HEISS GEWITTER __OFF__	über den bergen im süden und westen können sich am nachmittag ein paar hitzegewitter entwickeln .
__ON__ ABEND FRANKREICH cl-KOMMEN SCHAUER SCHAUER __HOLD__ GEWITTER UNWETTER __OFF__	am späten abend ziehen dann von frankreich schauer und teilweise unwetterartige gewitter heran .
__ON__ __PU__ GEWITTER STURM NORMAL OST WEHEN WEHEN WEHEN SCHWACH MAESSIG	von schauer und gewitterböen abgesehen wird der ostwind morgen schwach bis mäßig .
IX ACHT GRAD SECHSZEHN SUEDWESTRAUM	acht grad heute nacht an der dänischen grenze sechzehn im südwesten .
MORGEN IX VIER ZWANZIG DREISSIG NORDRAUM EINS ZWANZIG BIS VIER ZWANZIG GRAD __OFF__	dort morgen bis vierunddreißig in küstennähe einundzwanzig bis vierundzwanzig grad .
MITTWOCH IN-KOMMEND __HOLD__ cl-KOMMEN SCHAUER GEWITTER KOENNEN UNWETTER GEWITTER	am mittwoch breiten sich schauer und gewitter nach osten aus dabei besteht unwettergefahr .
DONNERSTAG NORDRAUM KUESTE REGEN WIND REGION WECHSELHAFT	am donnerstag an der küste zeitweise regen und windig sonst wechselhaft .
FREITAG WOLKE FREUNDLICH WECHSELHAFT NUR BISSCHEN SCHAUER __OFF__	am freitag teils wolkig teils freundlich und nur vereinzelte schauer .
__ON__ GUT ABEND LIEB ZUSCHAUER BEGRUESSEN	guten abend liebe zuschauer .
