"WHAT"	what
CL:5"walking by the tree" CL:5"walking by the tree" CL:5"walking by the tree" LIGHTING RAIN++ LIGHTING (2h)CL:5"walking by the forest" 	Start to raining and lighting while person was walking through the forest.
IX-1p LOOK FEEL FUNNY WHY PLASTIC SURGEON DO STITCH ON IX-1p 	I felt funny, why would plastic surgeon do stitches on me?
REALLY IX-1p LAUGH NO IX-1p KNOW IX-3p:i FUNNY YES BUT IX-1p REALLY DCL:4 "hair up on arms" 	I was not laughing, yes I know it was funny, but I got goose chills on my arms.
BORE CL:5"plain" BUT SAFE 	Plain road might be boring but more safe.
BEAUTIFUL BRICK HOUSE 	It's a beautiful brick house.
fs-JOHN READ BOOK ABOUT "WHAT" 	What is John reading a book about?
IX-3p:i CAR IX-loc:i fs-JOHN FATHER 	Is that car there John's father's?
(2h)alt.IX+++:k/l (2h)alt.SEARCH+++:l/m (2h)IX-3p:m FIND 	They searched everywhere until finally it was found.
SKI++ APPROXIMATE TIME^9:00 TIME SKI++ ALL-MORNING 	We started skiing about 9:00 and skied all morning.
fs-JOHN:i IX-3p:i THINK fs-MARY LOVE 	John thinks Mary loves (him).
SOMETHING/ONE ARRIVE HERE 	Someone arrives here.
IX-2p:i IX-1p HOUSE SET-UP-arc GO-AHEAD 	Lets go set up our houses.
cl:3 "cars toward to each other" IX-1p SAME part:indef cl:5 "go ahead" 	Driver would say go ahead, let another car pass by, say thank you and wave at each other.
TEACHER LIKE CHOCOLATE 	Does the teacher like chocolate?
fs-JOHN FINISH READ BOOK QMwg 	Did John finish reading the book?
IX-1p AHEAD CL:3"vehicle turning" 	I went ahead to turn.
SIREN (2h)CL:3"two vehicle" HEARING CL:F"eyes moving" IX-3p:i 	The siren came up.  Hearing person looked back and pointing to inform Deaf person that cop is behind.
STUDENT IX-loc-arc BOOK GIFT-distributive:j TEACHER IX-loc:j 	As for the students, they gave a book to the teacher.
POSS-1p MOTHER POSS-3p:i GRANDFATHER IX-3p:j ns-(I)ITALY 	My mother's grandfather was Italian.
IX-1p part:indef REALLY ADMIT IX-1p REALLY MUST BATHROOM REALLY BAD 	I have to admit, I really need to go bathroom bad.
IX-1p SHAMPOO fs-SHAMPOO SHAMPOO IX-1p cl:5 "picking the object up" cl:5 "dumping the object" 	I picked the shampoo and dump it on my hand.
IMPORTANT THING part:indef 	It is very important thing.
DEER CL:5"person shocking" SCARE CL:5"person shocking" 	The deer was in shocked and scared.
fs-MARY BUY MOTHER POSS-3p:i CAR GIFT:k fs-JOHN 	Mary bought (her) mother's car to give to John.
fs-MARY:i VEGETABLE KNOW IX-3p:i LIKE fs-CORN 	As for Mary and vegetables, (I) know she likes corn.
CL:3"person walking over" TALK 	A cop walked over and start talking.
STUDENT IX-3p-pl-arc>i i:GIFT:j BOOK IX-3p:j TEACHER 	The students gave a book to the teacher.
SOMETHING/ONE part:indef STRANGE ARRIVE 	Some strange thing/person arrived.
FINISH #BACK SKI ALL-AFTERNOON 	Then we went back to skiing all afternoon.
fs-JOHN:i fs-MARY LOVE IX-3p:i 	As for John, Mary loves him.
IX-1p CATCH GET #IT #BACK 	I caught and got it back.
(1h)HAVE EXACT DCL:1"length of dog" DCL:B-L"showing length of dog" WHITE (2h)alt.FUR BLACK DCL:G"stripes" (1h)HAVE 	The sky cap said, "But is it the right size? And does it have white fur with black stripes?"
IX-1p START CL:S"pulling the object"++ IX-1p CL:S"pressing the object" ANOTHER PERSON CL:S"pressing the object" CL:S"pulling against each other"++ 	I pressed the doorbell and he started to pulling the door. Then I pressed another doorbell, both were trying to open the door.
ICL:S"hold carrier from top" #DOG DIE 	Unfortunately, the dog was dead.
WHY CHASE IX-1p 	Why did they chase after me?
fs-JOHN BUY YESTERDAY "WHAT" BOOK 	What did John buy yesterday? A book.
IX-1p LOOK #OK FINE 	I looked at him and said ok, that is fine.
BUT IN IX-loc:i ns-LA AREA #OR NORTH part:indef REALLY MOST IN ns-LA AREA fs-VERY CLIQUE++ 	But in LA area, North, well really most in LA area, there are many clique.
IX-3p:i STUDENT POSS-3p:i FATHERwg HOUSE WHICH BUY IX-loc-arc 	Which house did the student's father buy?
STUCK UNDER BOAT CAN-NOT BREATH FOR A-WHILE 	She was stuck under the boat and could not breath for a while.
BUT IN ns-LA AREA part:indef IX-3p:i NOT SEE THAT fs-WAY 	But in LA area, they didn't see that way.
IX-3p:i fs-JOHN POSS-3p:j CAR 	That (right over there) is John's car.
SAME IX-1p UNKNOWN part:indef IX-3p-pl-arc FRIEND IX-1p REALLY POSS-1p FRIEND DRIVE SAME CL:3"car following other car" IX-1p part:indef NEED STAY HOTEL ONLY CHOICE IX-1p HAVE 	Three friends were driving in front of me and I waved to get their attention.  I told them that we really need to stay over the hotel since its only our choice. 
part:indef IX-1p CHANGE TIRE UNKNOWN part:indef REALLY THAT TIRE DONUT fs-DONUT TIRE REALLY CONTINUE FOR ONLY fs-MILES 	I changed the tire.  The tire is Donut tire that only last for 50 miles.
REALLY PAST FOUR YEAR PAST IN fs-CSUN 	Four years ago at CSUN
COP LOOK GRAB GET IX-1p OUT #CAR 	The cop looked and grabbed me out of the car.
IX-3p:i FATHERwg MUST BUY CAR fs-JOHN IX-loc:i 5"attitude-marker" 	He, father, must buy a car for John (I'm telling you).
DEGREE BECAUSE WHERE IX-1p FROM fs-NORTHRIDGE TEND TEN FIFTEEN DEGREE MORE THAN 	In Northridge tends to have ten to fifteen degrees more than LA.
IX-1p LOOK "who cares" CL:1"walking around to a place" 	I looked at it and thought so what!? I went around the bush.
fs-JOHN POSS-3p:i CAR IX-1p NEVER SEE:j 	I've never seen John's car.
THROW A-LITTLE FINISH part:indef REALLY NOTHING COLD CL:2"quotation" CONCEPT CL:1"spitting out" UNKNOWN 	She threw up a little, really, I dont think its nothing big.
SOMETHING/ONE part:indef BOAT SCL:3"vehicle sink" ns-CAPE-COD IX-loc:i 	Some (kind of) boat sank off Cape Cod. 
fs-JOHN FINISH READ BOOK FINISH 	Has John already read the book, has he?
WOMAN ARRIVE 	Some woman arrived.
IX-3p:i SEE:i BOOK IX-loc:i fs-JOHN FINISH READ+ YESTERDAY 	You see the book over there, John finished reading it yesterday.
REALLY ONE DOCTOR cl:1 "walking toward us" REALLY POSS-3p:i NEW+ JUST JOIN POSS-3p:i fs-STAFF 	A doctor came in, he is new and just joined the staff.
#BUT NOW FROM-NOW-ON REALLY fs-LAPD IX-3p:i MUST TEACH POSS-3p:i COP 	But, from now on, LAPD should teach their cops..
THAT BOOK fs-JOHN FINISH READ YESTERDAY 	That book, John finished reading it yesterday.
fs-JOHN MUST BUY HOUSE 	John must buy a house.
REALLY part:indef IX-3p:i SEND IX-1p REPLY fs-BACK WITH ONE SIMPLE SENTENCE fs-WHAT fs-IS #A fs-CAR 	He replied back with one simple sentence, "What is a car?"
IX-1p LOOK-arc MAKE SURE NONE ONE SEE IX-1p 	I looked around to make sure nobody see me.
COP TRUE-BUSINESS ns-ERICK (2h)IX-3p:i MUST FINE IX-3p-arc 	Erick was supposed to fine us.
STUDENT POSS-3p:i FATHER BUY HOUSE 	The student's father bought a house.
STUDENT FINISH READ BOOK NOW LOOK-AT+ MOVIE 	The student has finished reading a book and is now watching a movie.
SUITCASE+ (2h)PCL:4"many suitcases on carousel"++ LCL:1"path of carousel"++++++ 	The luggage from the afternoon flight showed up on the carousel, and the skycap went to check.
FINE OTHER THAN FOOD IX-1p CAN COMPARE POSS-3p:i ENVIRONMENT 	Other than food I could compare, it is the environmental.  
SOMETHING/ONE CAR STOLE 	Someone's car was stolen.
IX-1p TRY TELL COP IX-1p DEAF UNKNOWN 	I tried to tell cop that I am Deaf through my mouth, "Deaf, Deaf".
WHY HERE CAN REALLY++ HOT fs-BUT IN ns-LA REALLY FEEL NOTHING 	If theres 80 degrees here in Boston, it can be really hot.  But in LA, 80 degrees feel nothing.
SHORT fs-SKITS WHICH REAL FULL DRAMA 	everything from short skits to full length plays.
IX-3p:i HOUSE BUY NO fs-JOHN MOTHERwg NOT-WANT 	No, will she buy a house?  No,  John's mother doesn't want to buy a house.
WHILE ns-LA MAYBE HAVE ONE #OR TWO FINISH part:indef 	While in LA, they only have one or two seasons.  
IX-3p:i TEACHER IX-loc:i CAR BUY+ UP-TO-NOW 	The teacher has been car shopping for a while now.
POSS-1p MOTHER SAY NAH part:indef ENOUGH NAH 	My mother said,"Enough!"
MEET SECOND HUSBAND 	She met her second husband.
ON I-80 ALL-THE-WAY CL:B"across the land" FUTURE CHANGE I-90 LATER IX-1p EXPECT THREE-DAY FOUR-DAY REALLY IX-1p WRONG AWFUL 	On I-80 road all the way across the country and it will change to I-90 eventually. I expect it would takes maybe three or four days to cross the country.  But, I am wrong!
VARY SAME IF fs-SEBRIAN TIGER IX-3p:i ONE THING ABOUT POSS-3p STRIPE VARY SAME IDEA IX-3p-arc 	It is same idea as for Sebrian tiger, some have stripes or vary kind.
TEACHER (2h)GIVE-indef EXAM IX-3p:i fs-JOHN FUTURE READ BOOK IX-loc:j 	When the teacher gives out the test, John will read the book.
fs-JOHN LIKE FATHER POSS-3p:i CAR AND HOUSE 	John likes his father's car and house.
fs-JOHN IX-3p:i i:GIFT:j IX-3p:j MAN IX-loc:j NEW COAT 	John, he gave the man over there a new coat.
CUT++ BUILD HOUSE WOOD HOUSE 	After building a house, it becomes a wood house.
fs-MARY BUY POSS:i MOTHER CAR GIFT:k fs-JOHN 	Mary bought her mother's car and gave it to John.
fs-JOHN TELL:j fs-MARY IX-1p:i BUY HOUSE 	John told Mary, "I am buying a house."
REALLY ONCE-A-WHILE BUT FUN THING ABOUT ns-LA WHEN RAIN IN ns-LA 	Well, there is rain once a while but funny thing, when there is rain in LA.
HEARING part:indef DRIVE THINK COPY ACTION DEAF part:indef READY 	Hearing person thought, "thats okay, I can act like Deaf person."
IX-1p "waving" BOAT GET IX-1p 	I waved at the boat and they came to get me.
IX-3p:i fs-JOHN CAR IX-1p NEVER SEE:i 	I have never seen John's car.
fs-JOHN ARRIVE 	John is arriving there.
IX-3p-arc #RA LIVE ON THIRD FLOOR 	Our RA lives on third floor.
IX-3p:i fs-JOHN POSS-3p:j FATHER CAR QMwg 	Is that John's father's car?
IX-3p:i STUDENT LIKE EAT CHOCOLATE BUT IX-3p:i (Y)NOT-LIKE READ+++ 	The student likes to eat chocolate but he/she doesn't like to read.
fs-JOHN POSS-3p:i OLD HOUSE SOLD YESTERDAY 	John's old house was sold yesterday.
GO-AWAY BUILD IX-2p-arc HOUSE part:indef 	Go ahead, go and build your house.
PUSH IX-1p #TO GROUND PUSH CL:3"person falling" 	Pushed me and I fell to the ground.
fs-TONY SAY part:indef MUST GO HOSPITAL IX-1p part:indef IX-2p SURE 	Tony said that I should go to the hospital and I asked, "are you sure?"
IX-1p DECIDE fs-TO GO BUY CIGARETTE 	I decided to go to buy cigarette.
WAIVE THUMB-IX-3p:i WOW part:indef 	Hearing person thought," wow, he is waived."
LEAVE IX-1p ns-MIKE ns-DAISY SARCASM STRANGE 	The only left was me and Mike Daisy.  I think it is sarcasm that it was just two of us.  It is strange.
(25)WHY fs-JOHN NOT LIKE CHOCOLATE part:indef 	Why doesn't John like chocolate?
REALLY PAST++ WEEKEND IX-1p GET-TOGETHER FRIEND IX-1p-arc TWENTY 	Really, last weekend, twenty friends of us got together.
CL:5"banging the objects"+ IX-1p WAKE-UP CRY++ 	She made a lot of noises as banging and banging. I woke up and cried.
WHY IX-1p-arc HAVE BETTER fs-SEWER SYSTEM WATER CAN THROUGH 	Why? Because we have better sewer system where water can get through.
MAYBE IX-3p:i MISUNDERSTAND IX-3p:i THINK 	Maybe you misunderstood and thought he was eating something.
fs-JOHN IX-loc:i FUTURE neu:GIVE:j CHOCOLATE IX-loc:j MOTHER IX-3p:j 	Will John give chocolate to mother?
fs-JOHN FIND^#OUT TEST (2h)DCL:B"hair on head raising" (2h)NEED READ BOOK 	When John finds out about the test, he will freak out and need to read the book.
fs-JOHN BUY YESTERDAY "WHAT" 	What did John buy yesterday?
FROM fs:LAPD TWO BCL:S"person running" 	They are from LAPD and both of them ran.
IX-1p MUST CLEAN++ GRASS 	I must go outside and clean around on the grass.
MAN (1h)CALM-DOWN WORRY CALM-DOWN 	The skycap told her to calm down and not to worry.
IX-1p REALLY IX-1p IN fs-WYOMING IX-1p THINK POP-UP IX-3p REALLY ONE PLACE IX-3p:j TEN THOUSAND COW IN GATE SMALL CL:5 "round fence" 	I tell you, when I was in Wymong, I just thought of something, theres a place with maybe up to ten thousands cows in the gate.  It is like small jail around by them.
#THEN FRIEND TELL part:indef WHAT'S-UP 	Then a friend asked what's up.
fs-JOHN READ BOOK FUTURE KNOW MORE ABOUT ns-LINCOLN POSS-3p:j LIFE 	If John reads the book, he will know more about Lincoln's life.
IX-3p:i MOTHERwg PLAN READ++ BOOK LATERwg 	Mother is planning to read the book later.
HAVE PAST HAVE FINE SYSTEM AT NS-CSUN IF TROUBLE #SO part:indef 	Back then, there was a fine system at CSUN for if you caused troubles.
IX-3p:i TEACHER VOMIT MOVIE 	The teacher doesn't like the movie.
SLEEP ALL-NIGHT MORNING DIFFERENT++-arc GROUP++-arc 	I slept all night.  In the morning there were various groups.
CHINA VEGETABLE PEOPLE PREFER BROCCOLI 	In China, people prefer broccoli over other vegetables.
NOW (2h)LOOK-AT GROUP fs-DRAMA THAT DIFFERENT 	Now, let's watch some dramas that are somewhat different.
IX-1p THINK FINE part:indef THINK POSITIVE ABOUT IX-3p:i SITUATION 	I thought it should be fine, I have to think positive about this situation.
MOTHER NOT BUY CAR FOR IX-3p:i fs-JOHN NOT 	Mother did not buy the car for John.
(1h)TEACHER FINISH IN HOUSE IX-loc:i 	Is the teacher already in the house?
ANOTHER COP (2)CL:3"two vehicles pulling over" 	There is another cop pull us over.
"whew" 	A person who carried person, put person down and said, "Whew."
GO-AHEAD WHY NOT (2h)CL:3"sitting next to each other" CHAT CHAT SOMETHING 	I thought why not to have him join so he can keep me a company.
fs-JOHN fs-MARY IX-3p:i LOVE 	You know John? He loves Mary.
COP part:indef HEAR "thinking" COMMUNICATE "thinking" 	Cop said, "Oh you cant hear?"  Cop was thinking, how can I communicate him?"
FINISH PCL:5wg"many people going" DANCE IX-1p EXHAUSTED (2h)"forget it" TIME^9:30 GET-IN-BED 	Then everyone went to dance.  I was so exhausted.  At 9:30 I went to bed.
BECAUSE IX-1p #SO SHOCK THAT IX-1p part:indef 	Because I was so shocked about that.
fs-JOHN neu:GIFT:j GIRL BOX 	John is giving the girl a box.
1p:!CALL!:r IX-2p:r (1h)HAVE IX-2p:r YES 	He called and asked if they had the right kind of dog, and the answer was yes!
REALLY POSS-1p BOSS PRETTY STRICT SAME 	My boss is pretty strict.
#SO START #TO UNKNOWN REALLY SHAKE REPORTER part:indef LITTLE-BIT SCARE NOT KNOW HOW TO APPROACH IX-3p:i SITUATION 	He started to really shaking and reporter got scared.  Hes not sure how to approach that kind of situation.
IX-1p THINK part:indef #SO part:indef 	I thought
#ALL BOY CLASS:i (2h)alt.i:GIVE++:j TEACHER APPLE 	All the boys in the class each gave the teacher an apple.
WARN ONE TWO THREE 	Wolf said,"I warned you, ONE TWO THREE"
IX-3p:i TEACHER ENJOY BUT IX-3p:j KID NOT LIKE MOVIE part:indef 	The teacher enjoyed (the movie) but the kids did not like the movie.
#SO IX-3p:i UNKNOWN part:indef REALLY+ ONE PUNISH IX-1p MUST DO 	Actually, there was one punish we have to do.
CL:5"sucking the air" BLOW HOUSE CL:5"the object flying out" 	Wolf sucked the air and then blew the house away.
READY FOR IX-1p-arc GREAT fs-ADVDVENTURE "clapping" 	We are ready for our great adventure!
HOPE part:indef #SO IX-3p:i REALLY fs-HALL COORDINATOR REALLY BIG fs-B WORD IX-1p NOT-WANT SAY #IT HERE KNOW UNKNOWN 	I hoped but really, the hall coordinator is big "B" word that I don't want to say it here.
fs-JOHN POSS-3p:i FATHER MUST GIFT:j CAR fs-MARY part:indef 	John's father must give a car to Mary.
COP CL:1"person walking over" TALK 	A cop walked to the car and start talking.
FINE IX-loc:i ns-LA EVERYDAY UP-TO-NOW TEND part:indef 75++ DEGREE EVERYDAY cl:5 "flat" part:indef SUN fs-DRY part:indef SIMPLE 	Theres 75 to 80s degree with sunny and dry weather everyday here in LA since when I moved here.
TO NOW DAY IX-3p:i fs-DANA STILL TELL EVERYONE 	Even today, Dana would still tell everyone.
ICL:"removing the cover" 	A person got cover off the coffin.
TOGETHER MAKE SURE CONTACT-arc KNOW IF NOT LIKE SOMEONE FORGET-IT STILL+ FEEL BAD TOGETHER 	They would keep in touch, its like there is no one who we could ignore because we would feel bad. 
IX-3p:i CAR fs-JOHN (L)FUTURE FATHERwg 	Will John give his father THAT CAR?
INVOLVE MANY+ CHARACTER+ 	They involve many characters, 
IX-1p SURE IX-3p:i STILL TELL MANY STRANGER ABOUT IX-1p 	I am sure she still tell many strangers about me.
STUDENT HAVE VIDEOTAPE 	The student has the videotape.
BCL:"looking at dead person" BCL:"dead person" BCL:"looking at dead person" BCL:"dead person" BCL:"looking at dead person" 	A person looking at dead person.
DRY CL:5"plain on the road"++ 	There was dry and plain on the road while I was driving.
FATHER SHOULD BUY THAT BOOK (Y)WHY 	Why should father buy that book?
STUDENT EACH IX-loc-arc GIFT-distributive:i TEACHER BOOK 	Each of the students gave the teacher a book.
LOVE fs-JOHN WHO 	Who loves John?
IX-3p:i CAN'T END READ BOOK i:GIFT:j #BACK IX-3p:j TEACHER IX-loc:j 	If he can't finish reading the book, then he will give it back to the teacher.
fs-JOHN FUTURE FUTURE^NOT BUY HOUSE 	John, in the future, won't buy a house.
IX-1p IN ONE STORE IX-1p cl:5 "holding the object" fs-SILK REALLY NICE IX-1p cl:5 "holding the object" 	In one store, I was looking at this really nice silk shirt.
TEACHER (2h)GIFT-3p-pl-arc STUDENT BOOK ONE-distributive-3p-pl-arc 	The teacher gave each of the students one book.
MOTHER LIKE MOVIE 	Mother likes movies.
LOOK SHOCK CL:5"person shocking" 	Deer was shocked.
#OR REALLY NEED ARREST CL:S"unknown" FRONT CL:S"unknown" 	Or, if really need to arrest, then they should put the hands in front to arrest.
WHO TELL fs-BILL fs-MARY 	Who told Bill?  Mary.
IX-3p:i MOTHERwg BOOK (L)FUTURE READ+ LATERwg 	Will mother read a book later?
ENJOY GREAT REALLY ENJOY++ REALLY GRAB ns-SF AREA BEAUTIFUL CITY 	We went trip to SF.  We enjoyed and SF is a beautiful city. 
WOLF LOOK READY IX-1p TAKE-OVER EAT CL:5"eating the whole thing" 	Wolf looked at them and said," I am ready to catch and eat you!"
SAY IX-1p BCL:4"tapping person" fs-TONY POSS-1p FRIEND 	I tapped to my friend Tony.
IX-1p CL:3"car pulling over" GAMBLE++ IX-1p HAVE GOOD TIME FOR MAYBE FEW HOUR IX-1p GET-IN #CAR 	I pulled the car over and gambling.  I had a good time for maybe few hours and then I got back into the car. 
THAT IX-1p LOOK WHEW GOOD IX-1p GET REGULAR OPEN COP 	I was relief and it was good that we got regular and open-minded cop.
IX-1p AHEAD THUMB-IX-3p:j CL:3"vehicle moving" 	I went ahead to turn this way.
STILL part:indef ANYWAY SAME IX-1p part:indef IX-1p cl:5 "tapping" fs-TONY BAD fs-NEWS 	Anyway, I tapped Tony and told him about bad news.
BORN B:IX-1p(formal) 	And then I was born.
fs-JOHN GIFT:j TEACHER HOW-MANY CAR 	How many cars did John give the teacher?
REALLY POSS-1p CL:3"sit down" "come on" LOOK++ BOXING IX-1p part:indef 	He asked me to sit down and watch boxing but I was clueless.
MOTHER SHOULD NOT BUY CAR part:indef 	Mother should not have bought a car.   
CL:3"vehicle move over" 	The car pulled off the road.
fs-JOHN FUTURE^NOT LIKE MOVIE IX-3p:i 	John won't like the movie.
fs-JOHN BUY "WHAT" YESTERDAY BOOK+ 	What did John buy yesterday?  Books.
fs-FRANK SEARCH-FOR WHO POSS-3p:i BOOK "WHAT" 	Frank is looking for whose book?
(2h)PCL:5wg"people rushing left to right":m ICL:S"pick up carrier from top" 	Everyone ran to the carrier and someone picked it up.
fs-SUE BUY IX-3p:i CAR BLUE 	Sue bought that blue car.
CHOCOLATE REALLY STUDENT LIKE 	The student likes CHOCOLATE.
STUDENT BUY+ HOW-MANY CAR UP-TO-NOW part:indef 	How many cars has/have the student(s) bought so far?
IX-1p NOT #EVEN LOOK-BACK 	I was not even look back.
IN ns-LA REALLY SERVICE REALLY AWFUL SOMETIME SOME PEOPLE CAN-NOT SPEAK ENGLISH part:indef 	In LA, they have awful service, some people couldn't speak english.
ICL:"getting object" ICL:"removing the nail" ICL:"removing the nail" ICL:"removing the nail" ICL:"removing the nail" 	A person get hammer to remove each nail from four corners.
fs-JOHN WANT SELL CAR 	John wants to sell (his/a) car.
SAY part:indef FUTURE POSS-3p COMPANY COVER POSS-1p IX-3p:i STITCH UNKNOWN EVERYTHING 	He asked if company will cover the insurance for stitches on my finger and everything.
MOTHER READ+ BOOK 	Mother was reading a book.
HERE MORE fs-SUN MORE STRONG cl:5 " ray into us" WHILE ns-LA UNKNOWN DRY BUT SARCASM DEGREE 	Its because of sun is stronger here than in LA where it is dry but, at same time, its 100 to 110 degrees.
MOTHER NOT-WANT BUY HOUSE IX-3p:i 	Mother doesn't want to buy a house.
IX-1p REALLY IX-1p THINK POSS-1p ns-GOD 	I thought, "Oh my god!"
FINE UNKNOWN THINK POP-UP IX-1p cl:5 "picking the object" POSS-1p WALLET cl:5 "opening the object" 	Just thought of something, so I pulled my wallet out and checked.
IX-1p MUST #TO GO SEE UNKNOWN fs-HALL COORDINATOR 	I have go to see a hall coordinator.
cl:5 "biker riding on one wheel" part:indef FOR #MPH TRUE-BITS cl:5 "biker riding on one wheel" HIT fs-ROCK 	He was riding motorcycle on one wheel in 80 to 90 mph and hitted the rocks.
BECAUSE IX-1p FEEL POSS-3p:i WORD AGAINST POSS-1p 	Because, I feel their words will be against mine.
SOMETHING/ONE part:indef STRANGE ARRIVE part:indef 	Some strange thing/person arrived.
ENJOY DRIVE 	I enjoyed to driving.
IX-3p:i SAY YES GO-AHEAD USE POSS-1p NAME IX-1p part:indef WHEW FINE 	he said "yes, go ahead use my name. " I was relief.
fs-JOHN neu:GIFT+++:i/j/k GIRL BOX++ 	John is giving the girls boxes.
fs-JOHN PREFER GO MOVIE 	John prefers to go to a movie
fs-FRANK POSS-3p:i NEW CAR BREAK-DOWN 	Frank's new car broke down.
MOTORCYCLE IX-3p:i THREE MOTORCYCLE STEAL CRASH TWO OTHER MOTORCYCLE REALLY TOTAL MOTORCYCLE DIFFERENT MOTORCYCLE 	His three motorcycles were stolen, crashed two another motorcycles.  It was five different motorcycles total. 
d:(1h)GO:e (2h)SUITCASE (2h)PCL:4"many suitcases on carousel"++ LCL:1"path of suitcases" TWO SUITCASE (2h)ICL:"pick up and place suitcases" 	she went to the baggage carousel and picked up the two suitcases.
FUTURE fs-JOHN GO FUTURE 	In the future, John will go, (he) will.
fs-JOHN BUY CAR FUTURE^NOT 	John won't buy a car.
fs-JOHN fs-MARY IX-3p:i LOVE 	It is Mary whom John loves.
REALLY IX-1p ADMIT IX-1p part:indef NOT^WANT BRING #UP part:indef 	Really, I admit, I dont want to bring it up.
IX-1p-arc IX-1p-arc part:indef OVER-NIGHT WAKE-UP MORNING 	We stayed up overnight and then woke up next morning.
THAT KIND #OF CUT REALLY CUT POSS-1p fs-JOINT BONE IX-3p:i AFTER #X-RAY RESULT 	After my x-ray result, it showed that my finger was deep cut and cut my joint bone.
fs-JOHN POSS-3p:i fs-LEG HURT 	John's leg hurts.
IX-3p:i NOT-KNOW TEACHER LIKE MOVIE NOT-KNOW part:indef 	I don't know if the teacher likes the movie, I (just) don't know.
fs-JOHN BUY CAR YESTERDAY GIFT:j MOTHERwg 	John bought a car yesterday and gave it to mother.
MOTHER (2h)GIVE:j CHOCOLATE fs-JOHN 	Did mother give chocolate to John?
IX-1p FINALLY ARRIVE HOME SEVEN-THIRTY IX-1p UNKNOWN 	I finally arrived home at 7:30.
ICL:"grabbing someone's heart" ICL:"pulling heart out of the body" 	A person grabbed other person's heart and then pick person up.
REPORTER SAY LOOK TRUE-BUSINESS LOOK AT fs-MUHAMMAD fs-ALI 	The reporter said really? then he looked at Muhammad Ali.
MOTHER FUTURE NOT BUY HOUSE 	Mother will not buy a house.
TEACHER NOT IN HOUSE IX-loc:i 	The teacher is not in the house.
fs-JOHN KNOW IX-3p:i MAN IX-loc:i 	John knows that man over there.
(1h)HOW-MANY BOOK fs-JOHN FUTURE BUY 	How many books will John buy?
IX-1p REALLY IX-1p PAST IX-1p FOUR-YEAR FIVE-YEAR 	In the past when I was four or five years old.
MISTAKE HAPPEN ARRIVE CL:5"location" WOLF 	All of sudden, a wolf arrive the location.
fs-JOHN WANT SELL CAR FUTURE 	John wants to sell his car in the future.
SOMETHING/ONE POSS-3p:i CAR STOLE 	Someone's car was stolen.
COOL REALLY MANY ONE THING IX-1p NOTICE SAME part:indef 	There is vary weathers in Boston, but one thing I notice
IX-1p part:indef FEEL fs-NUMB 	I felt numb.
REALLY PAST+ IX-1p SEVEN YEAR 	Seven years ago.
fs-JOHN PAST LIVE CHICAGO 	John lived in Chicago.
#SO FROM-NOW-ON IX-1p-arc UNKNOWN GOOD STAY OUT TROUBLE FROM-NOW-ON ON #CSUN UNKNOWN 	From now on, we will be good and stay out of trouble at CSUN.
IX-3p:i fs-DANA SAY REALLY IX-1p CL:1"person walking down" GET fs-POTS AND fs-PANS CL:S"getting the objects" 	Dana said," I went down to get pots and pans."
TEACHER LIKE MOVIE 	The teacher likes movies.
ARRIVE PCL:5"people traveling" SETTLE-DOWN CALIFORNIA 	They arrived in America and eventually settled in California.
REALLY IX-1p MANY THING COMPARE IX-3p SAME FOR EXAMPLE FOOD REALLY IX-loc fs-BOSTON REALLY DELICIOUS BETTER FOOD 	There are many things I could compare, like for an example, Boston's food is a lot better.  They are more delicious.  
WAIVE+ TWO TIME IX-3p:i HEARING WONDER 	"He got waive two times," hearing person thought.
fs-JOHN READ+ BOOK FUTURE KNOW MORE ABOUT ns-LINCOLN POSS-3p:i LIFE 	When John reads the book, he will know more about LIncoln's life.
fs-FRANK POSS-3p:i CAR BREAK-DOWN 	Frank's car broke down.
PEOPLE CLASS:i (2h)alt.i:GIFT+:j fs-JANA fs-TOY 	People are giving Jana toys.
"um" fs-JOHN LIKE POSS-3p:j FATHERwg HOUSE CAR 	John likes his father's house and car.
DRIVE 	I pulled over.
(1h)HOW-MANY BOOK+ fs-JOHN FATHER GIFT:i fs-JOHN part:indef 	How many books did John's father give John?
SAME IX-1p LOOK HERE IX-1p NEVER HEAR SOMETHING SAME THAT 	I have never heard of that kind of situation here in Boston.
IX-3p:i DECIDE #TO VIDEOTAPE POSS-3p:i MOTORCYCLE CL:5 "biker riding on one wheel" ON ONE WHEEL 	He decided to videotaping himself riding on the motorcycle on one wheel.
fs-JOHN FINISH BUY HOW-MANY BOOK part:indef 	How many books has John bought?
HAVE PICTURE CUTE 	I have a picture, it was cute.
FOR IX-1p-arc COLLEGE STUDENT PAST IX-1p TOGETHER 	It was for college students to get together.
IX-3p:i NO NS-ERICK (2h)IX-3p:i SAY YES MUST WAIT FOR COP ARRIVE 	Erick said yes, we will have to wait til cop arrives.
fs-JOHN POSS-3p:i BROTHER ARRIVE 	John's brother arrives.
#SO UNKNOWN IX-1p GO HOSPITAL IX-1p part:indef REALLY KNOW HOSPITAL TEND FOREVER 	I went to the hospital but you know how hospitals are, tend to take forever. 
WHILE ns-LA BETTER PERFECT NONE RAIN 	While in LA, its better and perfect because of no rain.
IX-3p-pl-arc:i GIRL neu:GIVE:j fs-JOHN:j BOX++ 	The girls are giving John boxes.
FINISH part:indef cl:5 "wrapping up"++ #THEN IX-1p part:indef 	When it is finished, he wrapped around my finger.
